make,model,price,year,mileage,condition,city,state,country,condition2,vin,make,model,item_ID
 Chevrolet,Camaro Super Sport ,10100,1996,150000,Used,Chino,California,United States,Used ,Used ,“-Replace fuel ignition switch: drains battery-For smog purposes: reinstall Cadillac converters; removed due to installing straight pipes-coolant improperly feeds to engineNote***VEHICLE IS FULLY OPERATIONAL!!! listed above are (ALL) honest issues that are correctable.***”,“-Replace fuel ignition switch: drains battery-For smog purposes: reinstall Cadillac converters; removed due to installing straight pipes-coolant improperly feeds to engineNote***VEHICLE IS FULLY OPERATIONAL!!! listed above are (ALL) honest issues that are correctable.***”,1.72124E+11
Mercedes-Benz,Other GT-S,194800,2016,28,Used,Temecula,California,United States,Used ,Used ,“New”,“New”,3.318E+11
Chevrolet,Chevelle Malibu Hardtop 2-Door,15000,1972,139000,Used,Santa Monica,California,United States,Used,1D37H2L570891,Chevrolet,Chevelle,2.22048E+11
Mercedes-Benz,C-Class C250,29880,2014,25538,Certified pre-owned,Beverly Hills,California,United States,Certified pre-owned,WDDGJ4HB4EG278932,Mercedes-Benz,C-Class,2.31874E+11
Toyota,PUBLICA DELUXE 2-door,29800,1968,31023,Used,Torrance,California,United States,Used,UP20-128040,Toyota,PUBLICA DELUXE,1.11928E+11
Chevrolet,Corvette Base Coupe 2-Door,8995,1995,85321,Used,Bohemia,New York,United States,Used,1G1YY22P0S5107663,Chevrolet,Corvette,3.91403E+11
Rolls-Royce,Other Base Coupe 2-Door,257995,2015,2500,Used,Gardena,California,United States,Used,SCA665C51FUX85344,Rolls-Royce,Other,2.2205E+11
Ford,Mustang,14000,2010,57867,Used,Agoura Hills,California,United States,Used,1ZVBP8EN2A5114235,Ford,Mustang,1.61998E+11
Chevrolet,Corvette Base Coupe 2-Door,6200,2001,177795,Used,Fort Worth,Texas,United States,Used ,Used ,"“runs and drives, needs work.”","“runs and drives, needs work.”",2.52317E+11
BMW,M3 Base Convertible 2-Door,4000,1998,96000,Used,Valley Village,California,United States,Used ,Used ,"“honest seller here! nicely fixed up bmw here! 1 main issue which includes a more than possible head gasket repair or the rings may need repair which isn't real expensive repair work anymore but this car still drives and is not noisy as the engine still sounds smooth. 2. minor headlight issue due to cheap installation of hid lighting. 3. few interior flaws with very minor wear as this vehicle once contained tan seats which is now black leather. interior was totally ripped out and redone o.e.m. but the seat bottom pan is still tan instead of black since tan was the interior color originally. once these issues are repaired, this vehicle will be awesome as it is equipped with many wanted extras. i put an m3 odometer which reads 112,00 miles but i still have the original odometer at 95,000 true miles. pics of under the hood are available. this vehicle was babied and the engine is so clean you can literally eat off it. folks, always look at pics before before buying. thanks robert”","“honest seller here! nicely fixed up bmw here! 1 main issue which includes a more than possible head gasket repair or the rings may need repair which isn't real expensive repair work anymore but this car still drives and is not noisy as the engine still sounds smooth. 2. minor headlight issue due to cheap installation of hid lighting. 3. few interior flaws with very minor wear as this vehicle once contained tan seats which is now black leather. interior was totally ripped out and redone o.e.m. but the seat bottom pan is still tan instead of black since tan was the interior color originally. once these issues are repaired, this vehicle will be awesome as it is equipped with many wanted extras. i put an m3 odometer which reads 112,00 miles but i still have the original odometer at 95,000 true miles. pics of under the hood are available. this vehicle was babied and the engine is so clean you can literally eat off it. folks, always look at pics before before buying. thanks robert”",2.31871E+11
Ford,Mustang 1968 Ford Mustang Coupe,19988,1968,3045,Used,North Hollywood,California,United States,Used,8R01C136069,Ford,Mustang,1.52005E+11
 Chevrolet,Other Pickups K20 ,18500,1971,111561,Used,Yucca Valley,California,United States,Used,KE241Z611745,Chevrolet,Other Pickups,2.72155E+11
