"model","price","year","mileage"
"Jaguar: XKR Base Coupe 2-Door","45,900.00","2011","27,200"
"Chevrolet: Corvette Z51 Convertible","21,995.00","2007","69,983"
"Mercury: Other Sport Sedan","21,995.00","1951","10,550"
"Ford: Model A 2 door Roadster","9,100.01","1980","9,900"
" BMW: M6 Base Convertible 2-Door ","84,900.00","2013","17,248"
"Chevrolet: Corvette Z51 2LT","52,000.00","2014","10,980"
"Ford: Mustang 2 door coupe","8,000.00","1965","41,773"
"Maserati: Gran Turismo Base Coupe 2-Door","43,888.00","2008","65,336"
"Ford: Other 4-Door Sedan","59,500.00","1932","53,401"
"Cadillac: DeVille Base Hardtop 4-Door","960.00","1968","127,000"
"New listing  Chevrolet: Bel Air/150/210 4 door sedan ","9,850.00","1954","4,008"
"Chevrolet: Corvette coupe","8,000.00","1989","22,150"
" Cadillac: XLR Base Convertible 2-Door ","25,900.00","2004","36,274"
"New listing Ford: Mustang 2dr Cpe GT D","13,995.00","2006","69,216"
"Chevrolet: Impala SUPER SPORT","6,000.00","1964","96,296"
"Mercedes-Benz: C-Class C250","5,100.00","2014","11,649"
"Ford: Mustang Base Coupe 2-Door","850.00","2001","150,000"
"BMW: 3-Series Base Sedan 4-Door","16,995.00","2009","86,700"
"Chevrolet: Corvette C3","32,500.00","1968","72,709"
"Porsche: Cayman Base Coupe 2-Door","1,000.00","2014","29,511"
"Scion: tC Base Coupe 2-Door","8,500.00","2009","89,000"
"Volkswagen: Other 2dr DSG 2.0T","15,800.00","2013","11,980"
"Bentley: Other GT Speed Coupe 2-Door","79,000.00","2008","24,169"
"Ford: F-250","11,500.00","1956","72,975"
"Ford: Mustang PONY","8,050.00","1965","10,000"
"Other Makes: TIFFANY 2 DOOR COUPE","25,500.00","1986","23,900"
"Mercedes-Benz: S-Class Base Sedan 4-Door","9,900.00","2004","122,000"
"New listing Ford: F-150 Lariat","45,000.00","2013","4,800"
"Chevrolet: Camaro SS Convertible 2-Door","29,000.00","2011","11,400"
"Ferrari: 430 Base Coupe 2-Door","105,888.00","2006","23,289"
"Toyota: 4Runner Sr5","530.00","1994","16,400"
"Porsche: 911 Carrera Coupe 2-Door","44,000.00","1988","88,000"
" Chevrolet: 1937 chevy coupe ","19,100.00","1937","32,000"
" Ford: Mustang Convertible 2-Door ","22,100.00","1968","38,940"
"New listing BMW: 7-Series 4-Door Sedan","510.00","1992","96,120"
"New listing Chevrolet: Camaro IROC","1,025.00","1989","96,247"
"Chevrolet: Other Pickups 3600","8,200.00","1955","88,255"
"Ford: Mustang Roush Stage 3","1,000.00","2013","10,005"
"Austin Healey: Other 2 door convertible","44,544.44","1956","31,671"
"Ford: Other roadster","36,300.00","1932","0"
"New listing Chevrolet: Corvette Base Coupe 2-Door","14,499.00","2008","49,408"
"Mercedes-Benz: CL-Class Base Coupe 2-Door","12,500.00","2003","117,873"
"Audi: R8 Base Coupe 2-Door","99,999.00","2012","27,600"
"Pontiac: Firebird Formula Coupe 2-Door","3,120.00","1978","50,000"
"Chevrolet: Other custom","1,525.00","1940","100,000"
" Mercedes-Benz: SL-Class 2 door coupe ","15,000.00","1986","72,773"
"Mercedes-Benz: C-Class C250 Sedan","3,000.00","2014","7,882"
"New listing Chevrolet: Other Pickups","39,500.00","1966","34,339"
"Chevrolet: Corvette Base","8,395.00","1996","54,875"
" Ford: Mustang GT Coupe 2-Door ","2,025.00","1994","172,657"
"Ford: Other Collectors Series","16,500.00","1979","60,158"
"Maserati: Other Base Convertible 2-Door","69,995.00","2012","21,975"
"New listing Chevrolet: Camaro Base Coupe 2-Door","510.00","2000","164,144"
"Chevrolet: Corvette Base","14,000.00","1982","38,999"
"Bentley: Other GT Speed Coupe 2-Door","149,999.00","2013","11,805"
"Ford: F-100","7,700.00","1956","0"
"Mercedes-Benz: C-Class C250","7,100.00","2014","13,962"
"Chevrolet: Camaro Base Coupe 2-Door","700.00","1979"," "
"BMW: M4 2dr Coupe","69,800.00","2016","3,340"
"Maserati: Ghibli Base Sedan 4-Door","54,900.00","2015","12,718"
"Mercedes-Benz: C-Class C250 Sedan","2,900.00","2014","18,367"
"Chevrolet: Camaro Z-28 IROC","5,550.00","1985","35,000"
"Ford: Thunderbird 4 doors 2 suicide","4,950.00","1970","70,000"
"New listing Ford: F-250 SUPERCAB","18,999.00","2000","230,000"
"Mercedes-Benz: S-Class S550 Sedan","36,900.00","2013","17,625"
"New listing Toyota: Corolla 4dr Sedan DL","200.00","1992","237,719"
"Cadillac: DeVille Base Sedan 4-Door","2,500.00","1989","81,290"
"New listing Ford: Roadster 2-DR","35,000.00","1928","37,287"
"Ford: Mustang GT Coupe 2-Door","3,640.00","2013","38,214"
"Chevrolet: S-10 Reg Cab 108.","395.00","1993","150,187"
"New listing Jaguar: XKR Base Convertible 2-Door","19,995.00","2002","65,414"
"Chevrolet: Volt Base Hatchback 4-Door","16,500.00","2012","35,255"
"BMW: i8 Base Coupe 2-Door","75,600.00","2015","25"
"Ford: Mustang GT","12,950.00","2007","83,000"
"Chevrolet: Corvette Base Hatchback 2-Door","3,850.00","1984","62,780"
"Mercedes-Benz: E-Class Base Coupe 2-Door","37,885.00","2012","15,286"
" Volkswagen: Jetta Sedan 4 door ","7,988.00","2009","65,666"
"Ford: F-250","20,000.00","1968","500"
"Ford: Mustang 2 Door Coupe","8,100.00","1965","107,874"
"BMW: i8 Base Coupe 2-Door","119,999.00","2014","2,710"
"Hummer: H2 Base Sport Utility 4-Door","47,995.00","2006","107,000"
" Ford: F-250 123k MILES 4x4 DIESEL ","19,980.00","1996","123,950"
"Toyota: Other pick up","5,100.00","1985","133,900"
"Ford: F-100 custom cab","5,000.00","1964","999,999"
"Chevrolet: Tahoe LT Sport Utility 2-Door","9,200.00","1999","142,592"
" Chevrolet: El Camino 2dr Pickup ","6,000.00","1985","41,600"
"Mercedes-Benz: S-Class 4 Door Sedan","24,900.00","2007","121,700"
"Chevrolet: Corvette","15,000.00","1997","30,116"
"Chevrolet: Corvette Z06 3LZ","55,100.00","2015","6,317"
"Ford: Mustang","16,500.00","1967","0"
"Ford: Mustang","7,877.00","1973","285,936"
" Dodge: Viper GTS Coupe 2-Door ","28,000.00","2001","86,000"
"Aston Martin: DB9 Base Coupe 2-Door","119,999.00","2013","24,815"
"New listing Ford: Other","4,000.00","1974","59,000"
"Mazda: RX-8 Base Coupe 4-Door","1,075.00","2004","78,100"
"Chevrolet: Camaro IROC Z","8,500.00","1989","49,776"
"Ford: Mustang Base Coupe 2-Door","6,400.00","2006","29,000"
"Ferrari: California Base Convertible 2-Door","128,888.00","2010","20,691"
"Ferrari: 458 Base Coupe 2-Door","215,888.00","2012","9,823"
"Mercedes-Benz: S-Class Base Sedan 4-Door","39,885.00","2011","36,537"
"Chevrolet: Corvette Base Convertible 2-Door","49,000.00","2005","30,758"
" Ford: F-250 138k DIESEL 4x4 ","23,980.00","2002","138,910"
"New listing Chevrolet: Camaro 2 door coupe","15,000.00","1968","74,650"
"Chevrolet: Corvette FRC","12,000.00","1999","104,452"
"Cadillac: XTS Premium Sedan 4-Door","34,999.00","2014","9,600"
"BMW: 3-Series Coupe Convertible","1,225.00","1987","169,325"
"Dodge: Other Pickups LE","15,500.00","1993","157,000"
"Jeep: Wrangler Base 2dr 4WD SUV","4,850.00","1989","192,000"
"Ford: Other","13,250.00","1941","3,883"
"Chevrolet: Corvette California","8,950.00","1998","174,556"
"Ford: Other","19,600.00","1933","1"
"New listing Ford: Mustang Base Fastback 2-Door","510.00","1966","0"
"Porsche: 914 2-door, Convertible","9,000.00","1972","89,000"
"Mercedes-Benz: Other CLA250","37,995.00","2015","20"
"Ford: F-150 SPECIAL EDITION","67,000.00","2014","9,570"
"New listing Mercedes-Benz: CLK-Class Base Coupe 2-Door","990.00","2002","189,329"
"Toyota: Tundra Limited Crew Cab Pickup 4-Door","54,995.00","2014","26,356"
