"model","price","year","mileage"
" Ford: F-150 KING RANCH CREW SUNROOF NAV 20'S ","7,100.00","2010","54,272"
"Chevrolet: Corvette Grand sport","27,000.00","2002","123,000"
" Chevrolet: Corvette STINGRAY Z51 LT 7-SPEED NAV ","41,101.00","2015","3,313"
"Ford: Mustang Car","18,999.00","1970","26,296"
"Chevrolet: Corvette","30,400.00","2008","19,038"
"Aston Martin: Rapide 4dr Sedan","99,800.00","2012","20,329"
"Chevrolet: Chevelle Convertible","2,550.00","1969","1"
" Ford: F-150 FX4 V8 4X4 ","34,994.00","2012","27,086"
"Cadillac: Convertible Series 62 2-Door Convertible","74,950.00","1948","15,804"
"New listing Ford: Windstar 4dr LX","2,000.00","2003","139,888"
"Ford: Mustang C-Code 289 Auto","35,900.00","1966","101,253"
"Ford: F-150 Raptor svt","47,000.00","2014","14,471"
"Rolls-Royce: Phantom Drophead Coupe Convertible 2-Door","189,880.00","2009","43,810"
"Mercury: Cougar V6 Coupe 2-Door","1,600.00","1999","164,000"
" Ford: Mustang GT ","29,995.00","1965","53,287"
"Oldsmobile: Cutlass 2 door","7,999.00","1971","96,733"
"Ford: Mustang","21,000.00","1971","100,000"
"Chevrolet: Corvette","195,000.00","1961","100"
"Audi: A4 4dr Sdn Man","9,995.00","2008","71,539"
"Ford: Mustang Boss 302 Laguna Seca","30,101.00","2012","6,300"
"Bentley: Continental GT GT Coupe 2-Door","49,974.00","2005","52,774"
"Mini: Cooper Base Hatchback 2-Door","3,500.00","2004","104,000"
"Ford: F-350 XLT Crew Cab","24,950.00","2008","85,955"
"Ford: Other SKYLINER","37,500.00","1954","87,510"
"BMW: 5-Series 528i","37,495.00","2013","29,436"
"Buick: SPECIAL 2 door hardtop","7,510.00","1956","999,999,999"
"Hummer: H3 Base Sport Utility 4-Door","10,211.11","2008","67,600"
"Chevrolet: Corvette Convertible","18,950.00","1996","23,837"
"Porsche: 911 Targa 4 Coupe 2-Door","72,500.00","2012","16,100"
"Mercedes-Benz: C-Class C55 AMG","17,888.00","2006","73,282"
"Dodge: Other Pickups Truck","4,100.00","1972","42,057"
"Pontiac: Firebird Trans Am Coupe 2-Door","2,550.00","1988","60,000"
"Chevrolet: Corvette","7,600.00","1973","62,817"
"New listing Hummer: H3 Base Sport Utility 4-Door","4,050.00","2006","128,106"
" Mercury: Sable GS Sedan 4-Door ","3,000.00","2003","57,000"
"Honda: Accord Sport Sedan 4-Door","15,100.00","2013","21,638"
" Mercedes-Benz: C-Class C250 SPORT SEDAN SUNROOF NAV ","1.00","2012","24,488"
" Chevrolet: Corvette STINGRAY Z51 3LT COMP SEATS NAV ","30,100.00","2014","9,850"
"Ford: F-150 F150 Custom","5,600.00","1977","78,857"
"Ford: Mustang Cobra Saleen","30,000.00","1999","12,750"
"Bentley: Continental GT 2dr Coupe","124,389.00","2013","12,223"
"Chevrolet: Aveo 4 Door Hatchback","2,000.00","2005","109,533"
"New listing Dodge: Ram 2500 ST Standard Cab Pickup 2-Door","1,824.99","2006","94,357"
"Ford: Mustang Shelby GT500","32,970.00","2007","5,271"
"Chevrolet: Corvette L82 350/225HP V8 COUPE WITH 52K ORIGINAL MILES!","15,000.00","1979","52,200"
"Ford: Expedition XLT 4WD","19,850.00","2007","48,745"
"Porsche: Boxster 2DR CONVERTIBLE","29,900.00","2010","21,969"
"Mercedes-Benz: G-Class Base Sport Utility 4-Door","56,995.00","2008","93,682"
"Chevrolet: Chevelle SUPER SPORT","25,500.00","1972","0"
"Chevrolet: Camaro SS","21,000.00","1968","40,636"
" Ferrari: California Base Convertible 2-Door ","129,500.00","2010","10,200"
"Ford: F-350 XLT","3,270.07","2007","126,594"
"Ford: F-150 Platinum Ecoboost 4x4","31,051.00","2013","36,885"
"New listing Chevrolet: Impala SS","5,900.00","1965","47,495"
" Porsche: 911 Turbo S Coupe 2-Door ","144,900.00","2014","6,800"
"BMW: 6-Series Base Convertible 2-Door","30,975.00","2009","61,543"
" Mercedes-Benz: E-Class Convertible 2-door AMG options ","26,400.00","2011","22,866"
"Ford: Thunderbird 2 Dr.","11,100.00","1956","26,235"
"Ford: Mustang","7,600.00","1965","0"
"Chevrolet: Camaro IROC Z","7,300.00","1990","94,499"
"Ford: Mustang GT","3,750.00","1994","82,655"
"Chevrolet: Corvette Z06","91,089.00","2016","10"
"Ford: Mustang MUSTANG","9,950.00","1966","1"
"Ferrari: California Base Convertible 2-Door","119,999.00","2010","18,920"
" Toyota: Tacoma PRERUNNER DBL CAB AUTO REAR CAM ","29,980.00","2013","29,426"
"Ford: F-150 Lariat","24,970.00","2009","90,273"
" Ford: Mustang GT 5.0L 6-SPEED SYNC SPOILER ","25,480.00","2014","18,791"
"Saab: 9-5 Linear Sedan 4-Door","480.00","2002","136,843"
"Mercedes-Benz: SL-Class Base Convertible 2-Door","42,990.00","2009","63,586"
"Lexus: LS 4dr Sdn","8,995.00","2003","125,236"
"Ford: F-550 Chassis XL 4x2","76,900.00","2016","56"
"Lexus: GS Base Sedan 4-Door","6,200.00","2004","144,120"
"BMW: 3-Series 2 door convertible","7,999.00","1996","146,015"
" Buick: Riviera Base Hardtop 2-Door ","6,410.00","1970","120,000"
"Lamborghini: Gallardo 2dr Coupe","119,000.00","2007","8,566"
"New listing Audi: A4 Base Sedan 4-Door","1,000.00","2012","52,847"
"Toyota: Land Cruiser Base Sport Utility 4-Door","14,950.00","1994","176,436"
"Chevrolet: Corvette Convertible","39,900.00","1968","32,674"
"New listing Jaguar: XK8 Base Coupe 2-Door","1.25","2001","142,000"
"Buick: LeSabre Custom Sedan 4-Door","4,000.00","1998","76,512"
"BMW: 3-Series Base Sedan 4-Door","3,100.00","2006","170,822"
"Chevrolet: S-10 GMC Sonoma","3,550.00","2002","86,100"
"Chevrolet: Corvette Stingray","50,100.00","2016","3"
"New listing Porsche: Cayman S Hatchback 2-Door","27,900.00","2007","51,350"
"Ford: Mustang 2015 ROUSH RS2 Mustang","49,007.00","2015","10"
"Ford: F-250 Super Duty Extended Cab Long Bed","5,700.00","1999","137,000"
"Chevrolet: Chevelle super sport 396","2,800.00","1968","0"
"Lexus: RX Base Sport Utility 4-Door","21,995.00","2010","53,610"
"Chevrolet: Corvette Z51","76,230.00","2016","4"
"Toyota: Other SR5","4,050.00","1987","124,967"
"New listing Ford: F-150 XLT","26,000.00","2014","22,011"
"Chevrolet: Corvette Leather","6,000.00","1987","101,500"
"New listing Chevrolet: Corvette Z-51","25,500.00","2016","442"
" Jaguar: XJ8 Base Sedan 4-Door ","4,000.00","2003","79,000"
"Chevrolet: El Camino EL Camino","45,000.00","1959","15,600"
"Maserati: Coupe 2dr Coupe Cambiocorsa","26,273.00","2004","9,190"
"Cadillac: DeVille DHS Sedan 4-Door","200.00","2003"," "
"New listing Ford: Mustang GT Premium","14,900.00","2008","79,225"
"New listing Ford: Mustang GT","6,500.00","2003","102,000"
"New listing Mercedes-Benz: C-Class C320 4 door sedan","6,250.00","2001","79,100"
"Honda: Prelude 2dr Coupe Automatic","3,000.00","2001","162,952"
"Porsche: 911 Carrera Coupe 2-Door","22,495.00","2000","63,624"
"Chevrolet: Suburban","8,500.00","1953","9,999,999"
"Chevrolet: C-10 Pickup","32,900.00","1963","100"
"New listing Ford: Mustang S351","35,000.00","1996","16,800"
"Bentley: Continental GT 2dr Coupe Speed","238,929.00","2016","12"
"Ford: Other Pickups STREET ROD PICKUP","55,000.00","1938","180"
"Dodge: Ram 3500 extended cab 4 door","11,600.00","1998","170,000"
"Ford: Mustang Shelby GT500","37,995.00","2008","1,754"
"Ford: Other","2,500.00","1948","1,000,000"
"Jeep: Wagoneer 4 door","5,500.00","1984","89,800"
"BMW: 7-Series Base Sedan 4-Door","45,949.00","2013","28,227"
"Chevrolet: Corvette INDI PACE CAR CONVERTIBLE","6,500.00","1986","81,000"
"Chevrolet: COUPE Coupe","10,000.00","1950","3,500"
"Chevrolet: Corvette Z51 Stingray","68,641.00","2016","10"
"Chevrolet: C/K Pickup 2500","1,000.00","1977","0"
" Toyota: Tacoma PRERUNNER DBL CAB AUTO REAR CAM ","29,980.00","2013","29,426"
"New listing Chevrolet: Corvette","15,000.00","1973","79,383"
"Mercury: Other","14,700.00","1951","5,000"
" Chevrolet: Corvette Base Coupe 2-Door ","35,000.00","2003","8,757"
"Other Makes: Chandler, Model 75, Royal 8","13,000.00","1929","71,502"
"Jaguar: XK8 Base Convertible 2-Door","14,950.00","2000","40,538"
"Chevrolet: Corvette STREET ROD TRADE","45,000.00","2013","19,800"
"Buick: Other Limited Convertible - 800 made","185,000.00","1958","83,400"
"Chevrolet: Corvette 2dr Stingray Z51 Coupe w/2LT","1,000.00","2016","0"
"Chevrolet: Tahoe 2WD 4dr LTZ","69,663.00","2016","0"
"Mercedes-Benz: SL-Class Base Convertible 2-Door","42,990.00","2009","63,586"
" Chevrolet: Corvette STINGRAY 3LT Z51 AUTO NAV HUD ","51,080.00","2014","6,782"
" Datsun: Other 510 SEDAN SSS SHOW CAR ","17,700.00","1971","24,650"
"Ferrari: 430 2dr Convertible Spider","119,998.00","2007","22,764"
" Ford: Mustang GT 5.0L 6-SPD NAV CLIMATE LEATHER ","33,980.00","2015","14,482"
"Honda: Accord Sport Sedan 4-Door","15,100.00","2013","21,638"
"Chevrolet: Camaro IROC Z","7,300.00","1990","94,499"
" Jeep: Wrangler 4WD 2dr X ","11,600.00","2009","53,989"
"New listing Ford: Mustang ROUSH","40,200.00","2015","31"
"New listing Ford: Mustang ROUSH","40,700.00","2015","21"
"New listing Ford: Mustang ROUSH","40,500.00","2015","28"
"New listing Ford: Mustang ROUSH","44,300.00","2015","32"
"New listing Ford: Mustang ROUSH","47,200.00","2015","32"
"Chevrolet: Corvette LS5","36,900.00","1971","109,000"
"Ford: Mustang Car","17,999.00","1970","47,496"
"Mercedes-Benz: CLS-Class 4 door coupe","20,099.00","2009","42,800"
"Mercedes-Benz: C-Class 4dr Sedan C300 RWD","44,545.00","2016","0"
"Chevrolet: C-10 PK","22,000.00","1967","75,790"
"Chevrolet: Camaro SS","21,000.00","1968","40,636"
"Toyota: Tacoma TIMING BELT / WATER PUMP JUST DONE","8,500.00","2004","96,974"
"Ford: F-550 XL","19,440.00","2007","64,628"
"Chevrolet: Other","7,500.00","1976","130,120"
"Mercedes-Benz: 300-Series","4,350.00","1972","130,421"
"McLaren: MP4-12C","159,888.00","2012","16,975"
"New listing Ram: Other Tradesman Cab & Chassis 2-Door","1,000.00","2016","580"
"Cadillac: DeVille 2 DR COUPE","3,750.00","1976","67,596"
" Ford: Mustang GT500 ","43,995.00","2011","17,529"
" Chevrolet: Camaro SS ","8,248.25","2015","4,328"
"Triumph: GT6 MARK III COUPE","2,972.00","1972","92,823"
"Toyota: 4Runner Limited Sport Utility 4-Door","12,900.00","2007","80,890"
" Chevrolet: Corvette STINGRAY LT3 7-SPEED NAV HUD ","51,980.00","2014","19,732"
"Chevrolet: C-10 CST","8,500.00","1968","49,000"
"BMW: X5 xDrive35i Sport Utility 4-Door","32,700.00","2012","26,056"
"Chevrolet: S-10 BLACK","3,050.00","1994","83,000"
"New listing Chevrolet: Camaro SS","10,100.00","1968","75,000"
" Ford: Mustang Fastback ","275,000.00","1965","2,500"
"Volvo: S40 Base Sedan 4-Door","2,500.00","2004","96,319"
"Chevrolet: Equinox FWD 4dr LT","29,260.00","2016","0"
"Chevrolet: Camaro Custom","35,000.00","1967","2,353"
"Chevrolet: Impala Coupe","23,995.00","1966","74,708"
"Chevrolet: Corvette","19,000.00","2001","67,100"
"Porsche: Cayenne Base Sport Utility 4-Door","21,495.00","2008","52,254"
" Ferrari: California 2dr Conv ","124,900.00","2010","35,069"
"Nissan: 300ZX Base Convertible 2-Door","10,950.00","1994","83,537"
"Chevrolet: C-10 Truck/SUV","12,999.00","1969","84,277"
"Dodge: Viper SRT-10 2dr Convertible","56,900.00","2008","11,604"
"Chevrolet: Corvette 2LT","810.00","2016","11,489"
"Ford: F-100","6,950.00","1967","100,000"
"Ford: Mustang - Utah Showroom","12,000.00","1965","72,304"
"Lincoln: MKZ/Zephyr Base Sedan 4-Door","22,000.00","2015","8,274"
" Mercury: Other Montclair Convertible ","26,200.00","1955","2"
"Audi: TT 2DR COUPE","51,900.00","2013","8,678"
"Ford: F-150 Lariat","17,500.00","2006","120,000"
"Chevrolet: Camaro RS SS","25,400.00","1967","683"
"Porsche: 911 Turbo S Convertible 2-Door","155,900.00","2014","16,850"
"Mercedes-Benz: GLK-Class Base Sport Utility 4-Door","36,995.00","2015","8,804"
"Plymouth: Duster coupe 2-door","18,000.00","1971","62,000"
"Chevrolet: Corvette Z51","25,000.00","2008","21,800"
"Jeep: Cherokee CHEROKEE SPORT 4WD 2-DOOR 5-SPEED MANUAL","7,450.00","2001","165,811"
"Saab: 900 2dr Coupe","5,995.00","1993","103,484"
" Chevrolet: Corvette 1LT ","58,277.10","2016","7"
"Ford: Other LX","28,995.00","2002","51,688"
"New listing BMW: 3-Series 328i","50,620.00","2016","0"
"Audi: A8 4dr Sedan","22,900.00","2008","78,709"
"Other Makes: Sunbeam Tiger MK2 Convertible","60,000.00","1967","56,000"
"Chrysler: Other 2 door","24,200.00","1928","200"
"Chevrolet: Colorado 2WD Crew Cab Z71","2,025.00","2016","3,832"
"Mercury: 2 Door Custom Custom Interior","5,000.00","1951","1,900"
"Ford: Other Pickups SHOW TRUCK","39,500.00","1940","500"
"Ford: Other SE","200.00","2013","25,522"
"Chevrolet: C/K Pickup 1500 Custom Deluxe","3,150.00","1981","32,500"
"Maserati: Gran Turismo Base Coupe 2-Door","52,997.00","2009","29,342"
"New listing Chevrolet: Corvette Grand Sport 3LT Supercharged","41,991.00","2011","33,884"
"Chevrolet: Camaro Z28 Stripes","15,100.00","1970","50,000"
"Chevrolet: Corvette 2dr Z06 Coupe w/3LZ","101,055.00","2016","0"
"Chevrolet: C/K Pickup 1500 custom","8,600.00","1972","90,000"
"Chevrolet: Corvette","22,076.43","1969","6,554"
"Chevrolet: Sonic 4dr Sedan Automatic LS","17,825.00","2016","0"
"New listing Chevrolet: Corvette Z06","32,900.00","2004","2,524"
"Mercedes-Benz: S-Class","11,200.00","2007","82,245"
"Dodge: Charger SE Sedan 4-Door","16,900.00","2011","24,421"
"Ford: Excursion Limited","34,760.00","2005","76,745"
"Porsche: 911 Targa 4S Coupe 2-Door","67,500.00","2011","51,366"
"Kia: Rio Base Sedan 4-Door","3,299.00","2006","73,400"
"Jeep: Wagoneer Base Sport Utility 4-Door","4,050.00","1989","180,000"
"Chevrolet: Corvette CORVETTE","910.00","2006","16,098"
" Ford: F-150 KING RANCH CREW SUNROOF NAV 20'S ","7,100.00","2010","54,272"
"Ford: F-350 King Ranch Crew Cab Pickup 4-Door","41,000.00","2011","50,238"
"New listing Chevrolet: El Camino Conquista Standard Cab Pickup 2-Door","200.00","1981","110,438"
"Honda: Accord 4WD 5dr EX-L","5,000.00","2010","92,158"
"Ford: F-150 Harley Davidson","22,500.00","2007","65,345"
"Ford: F-250 King Ranch","18,900.00","2007","155,000"
"Chevrolet: C/K Pickup 1500 Stepside","8,000.00","1996","85,000"
"New listing BMW: 3-Series i xDrive","30,000.00","2015","8,079"
"Nissan: GT-R 2dr Coupe Premium","46,100.00","2015","16,639"
"New listing Chevrolet: Corvette","27,500.00","2000","10,800"
"Cadillac: Eldorado 2 door","4,550.00","1990","44,256"
"Chevrolet: Chevelle SS","30,100.00","1967","2,861"
" BMW: M4 COUPE TURBO EXECUTIVE SUNROOF NAV 19'S ","64,780.00","2015","9,495"
"Ferrari: California Base Convertible 2-Door","124,900.00","2010","16,812"
"Chevrolet: Camaro SS Limited Edition","24,999.00","2002","2,564"
"Chevrolet: Other Pickups KODIAK C4500 CREW CAB HAULER DIESEL","36,950.00","2004","58,857"
" Ford: F-250 LARIAT CREW 4X4 DIESEL SUNROOF NAV ","54,980.00","2015","6,176"
"Porsche: 911 Carrera 4S","62,885.00","2010","18,199"
"BMW: M4 16 BMW M4 CNV 2DR CONV","86,595.00","2016","0"
"BMW: 6-Series Base Convertible 2-Door","19,900.00","2007","69,069"
"Mini: Cooper S 2dr S","14,990.00","2013","41,083"
"Chevrolet: Impala","5,000.00","1996","45,000"
"Cadillac: 4 Door Sedan","10,000.00","1949","69,704"
"Ford: 3W Coupe","57,900.00","1932","3,061"
"Ford: Edge 4dr Limited FWD","24,688.00","2013","23,020"
"Chevrolet: Camaro Z28","45,000.00","2002","70,000"
"BMW: 3-Series 320i","30,995.00","2015","7,413"
"New listing Chevrolet: Corvette Z51 3LT","78,665.00","2015","9"
"Mercedes-Benz: E-Class E250 BTC","49,895.00","2015","30"
" Ford: Mustang ","25,000.00","1966","76,465"
"Chevrolet: Corvette","13,495.00","1993","32,000"
"Honda: Element DX Sport Utility 4-Door","5,997.00","2003","107,503"
"BMW: M3 Base Convertible 2-Door","14,950.00","1998","65,803"
"Toyota: Camry LE4S","2,000.00","1995","135,818"
"Mercedes-Benz: CL-Class Coupe 2-Door","16,800.00","2005","75,000"
"Chevrolet: Corvette 427 1SB","57,388.00","2013","18,774"
"Dodge: Ram 1500 Base Standard Cab Pickup 2-Door","2,000.00","1995","191,828"
"Ford: F-100 Short Bed","8,750.00","1959","164,816"
"Chevrolet: Silverado 1500 LT Crew Cab Pickup 4-Door","960.50","2014","30,000"
"Ford: Other Pickups XL Utility","49,995.00","2015","18"
"Ford: F-150 XLT Crew Cab Pickup 4-Door","14,900.00","2007","132,000"
"Mercedes-Benz: SL-Class Base Convertible 2-Door","44,900.00","2012","47,606"
"Hummer: H2 Base Sport Utility 4-Door","19,750.00","2003","121,000"
"Hyundai: Sonata 4 Door Sedan","787.77","2003","111,063"
"Chevrolet: Corvette","21,999.00","1972","77,859"
"Infiniti: FX Base Sport Utility 4-Door","355.00","2005","106,500"
"Ford: Mustang Boss 302","47,100.00","1969","6,162"
"Chevrolet: Camaro","26,500.00","1970","50,000"
"New listing Bentley: Continental Flying Spur SEDAN 4 DR","57,500.00","2006","19,942"
"Chevrolet: Tahoe LTZ Sport Utility 4-Door","17,950.00","2007","133,000"
"Ford: Mustang Shelby GT500","89,000.00","1968","76,000"
" Chevrolet: Impala Convertible ","29,500.00","1963","86,638"
"Chevrolet: C-10","7,200.00","1981","56,454"
"Ford: F-350 XLT","9,000.00","1997","174,638"
"Ford: F-150 XLT","32,000.00","2014","28,333"
"Chevrolet: Corvette Stingray Z51","72,395.00","2016","12"
"New listing Honda: CR-V 4WD EX Auto","530.00","1999","116,259"
" Mercedes-Benz: C-Class C250 COUPE P1 PANO SUNROOF NAV ","22,980.00","2012","47,126"
" Mercury: Other Montclair Convertible ","26,200.00","1955","2"
"Nissan: Altima SR Coupe 2-Door","12,500.00","2011","32,800"
"Ford: Mustang Boss 302","47,100.00","1969","6,162"
"Chevrolet: Camaro","26,500.00","1970","50,000"
"New listing Bentley: Continental Flying Spur SEDAN 4 DR","57,500.00","2006","19,942"
"Chevrolet: Tahoe LTZ Sport Utility 4-Door","17,950.00","2007","133,000"
"Rolls-Royce: Phantom Base Sedan 4-Door","269,800.00","2013","7,998"
"Ford: Mustang Shelby GT500","89,000.00","1968","76,000"
"Ford: F-350 XLT","9,000.00","1997","174,638"
"Chevrolet: C-10","7,200.00","1981","56,454"
"Chevrolet: Malibu 4dr Sedan LT w/2LT","31,574.00","2016","0"
" Chevrolet: Corvette Corvette ","4,551.00","1992","84,900"
"Ford: F-150 XLT","32,000.00","2014","28,333"
"Jaguar: S-Type Sport Sedan 4-Door","635.00","2001","124,000"
"Chevrolet: Corvette Stingray Z51","72,395.00","2016","12"
"New listing Chevrolet: Impala Bel air impala","3,000.00","1958","98,702"
"Chevrolet: Corvette 2dr Stingray Coupe w/1LT","61,605.00","2016","0"
"Ford: Explorer 4DR 112 WB","660.00","1997","172,574"
"Toyota: Camry Hybrid LE Sedan 4-Door","15,450.00","2012","52,900"
"New listing Ford: F-100","37,500.00","1955","100"
"Chevrolet: C/K Pickup 1500","18,888.00","1967","41,267"
"Ford: F-350 Crew cab","23,500.00","2008","108,195"
"Cadillac: Allante 2dr Coupe Convertible Hardtop","9,995.00","1990","63,159"
"Chevrolet: Corvette 2dr Z06 Coupe w/3LZ","1,000.00","2016","0"
"Ford: F-250 XLT Texas Edition Crew Cab 4x4 Longbed","46,525.00","2016","12"
"New listing Chevrolet: El Camino Conquista Standard Cab Pickup 2-Door","200.00","1981","110,438"
"Chevrolet: Corvette Callaway","79,995.00","2012","1,503"
"Ford: Explorer Sport Trac XL Sport Utility 4-Door","1,225.00","2002","143,171"
"New listing Honda: CR-V 4WD EX Auto","530.00","1999","116,259"
"New listing  Chevrolet: Camaro 2SS 1LE 6SPD SUNROOF NAV HUD 20'S ","30,980.00","2013","40,052"
"Ford: Mustang BOSS 302","35,000.00","2012","8,734"
"Chevrolet: Other","24,500.00","1942","60,000"
"Dodge: Ram 2500 Base Cab & Chassis 2-Door","2,500.00","1998","166,999"
"Ford: Other Pickups Pickup","57,900.00","1949","0"
" Ford: Ranger XLT EXT CAB 4X4 AUTO TONNEAU COVER ","4,233.00","2011","54,221"
"Chevrolet: Camaro SS Badges","24,499.00","1967","61,805"
"Rolls-Royce: Phantom 2dr Coupe","325,000.00","2014","16,898"
"Ford: Mustang Mach 1","14,800.00","1973","100,000"
"Porsche: 911 Carrera Coupe 2-Door","33,700.00","2000","4,891"
"New listing Ford: F-100 Pickup Truck","149,900.00","1953","904"
"Mercedes-Benz: AMG GT Mercedes-AMG GT S 2dr Coupe","136,984.00","2016","489"
"Chevrolet: Corvette 2dr Convertible","124,990.00","1957","867"
"Ford: F-150 Extended cab. long bed","8,200.00","2007","73,900"
"Chevrolet: Corvette Z06 3LZ Navigation Leather Supercharged Black Coupe","82,441.00","2015","2,422"
"Mercedes-Benz: CLA-Class 4dr Coupe CLA250","38,225.00","2015","0"
"Mercedes-Benz: Other S","100,100.00","2016","1,360"
"Chevrolet: Camaro Ss","17,700.00","1968","125,000"
"BMW: M3 Base Convertible 2-Door","14,950.00","1998","65,803"
" Chevrolet: Corvette Z06 ","94,818.61","2016","52"
"Ford: Mustang Boss 302 Laguna Seca","36,200.00","2013","4,476"
"Ford: Mustang","5,000.00","1968","165,143"
"Chevrolet: Corvette Z06 w/1LZ","25,101.00","2009","9,481"
"Chevrolet: Corvette 2dr Stingray Z51 Coupe w/3LT","1,000.00","2016","0"
"Plymouth: Prowler Base Convertible 2-Door","39,900.00","1999","3,673"
"Ford: F-150 SuperCrew 4x4 3.5L Ecoboost Platinum Navigation","41,500.00","2013","32,521"
"Cadillac: Allante Base 2 dr STD Convertible","3,900.00","1990","125,850"
"Alfa Romeo: Other 4C","55,100.00","2015","0"
"Dodge: Charger SE Sedan 4-Door","20,000.00","2015","380"
"Ford: Expedition Eddie Bauer 2WD","5,000.00","2002","123,462"
"Chevrolet: Corvette w/2LT","35,900.00","2011","17,401"
"New listing Chevrolet: Corvette C7, Z06, Z07, 3LZ","10,100.00","2015","4,069"
"Ford: Mustang Shelby GT350 trim","24,685.00","1968","53,978"
" Ford: Mustang GT PREM 5.0 6SPD LEATHER REAR CAM ","26,480.00","2013","27,551"
"Chevrolet: Corvette","6,000.00","1979","29,999"
"New listing Ford: F-250 XLT","19,899.00","2011","85,082"
"Chevrolet: Corvette","21,248.00","1997","34,580"
"Jaguar: XK 2dr Convertible","28,900.00","2007","23,053"
" Chevrolet: Camaro RS ","25,600.00","1969","98,964"
"Chevrolet: Sonic 4dr Sedan Automatic LT","20,615.00","2016","0"
" Dodge: Ram 1500 SRT-10 Standard Cab Pickup 2-Door ","22,500.00","2005","51,000"
"Porsche: 911 Carrera GTS Coupe 2-Door","64,000.00","2011","29,500"
"Mercedes-Benz: CLA-Class 4dr Coupe CLA250","46,600.00","2016","0"
"Chevrolet: Other Scottsdale","1,000.00","1980","52,500"
"Chevrolet: Camaro SS","23,000.00","2002","18,500"
"Nissan: GT-R Premium Coupe 2-Door","73,999.00","2013","16,000"
"Ford: Mustang","13,999.00","1966","79,946"
"Mercedes-Benz: 200-Series","37,300.00","1969","13,179"
" Maserati: Other 2dr Cpe Gran ","25,100.00","2009","16,756"
"Toyota: Land Cruiser Base Sport Utility 4-Door","15,950.00","1997","150,887"
"Audi: S8 4dr Sedan","28,900.00","2007","65,042"
"Ford: Mustang Fastback","70,000.00","1965","8,040"
"Ford: Mustang PRO-STREET","34,800.00","1967","1,257"
"Dodge: Other Pickups","3,000.00","1963","10,000"
"Ford: Thunderbird 2dr Converti","14,700.00","2002","53,788"
"New listing  Dodge: Ram 1500 SLT Standard Cab Pickup 2-Door ","2,200.00","2002","162,690"
"Chevrolet: Chevelle SS L78 4spd","42,600.00","1966","2,000"
"Ford: Mustang 2015 mustang gt Whipple supercharged","41,999.00","2015","700"
"Chevrolet: Other","2,000.00","1956","0"
"New listing  Hyundai: Elantra GL Sedan 4-Door ","9,900.00","2013","41,500"
"Ford: F-150 Platinum","25,999.00","2012","65,960"
"Nissan: Altima S Sedan 4-Door","3,600.00","2009","101,000"
"Mercedes-Benz: GLK-Class Base Sport Utility 4-Door","36,995.00","2015","8,804"
"BMW: 7-Series 740i","92,545.00","2016","0"
"Ford: F-250 Platinum FORD CERTIFIED, LEATHER, NAVIGATION","55,945.00","2015","7,965"
"Chevrolet: Tahoe LS 1500 2WD","7,241.00","2005","159,676"
"Chevrolet: Camaro Gold","1,700.00","1988","174,000"
"Chevrolet: Impala Super Sport","16,000.00","1968","81,317"
"Ford: Other STREET ROD","42,000.00","1948","34,000"
"BMW: M3 16 BMW M3 SEDAN 4DR SDN","81,105.00","2016","0"
"Chevrolet: Bel Air/150/210 2dr Hardtop","24,100.00","1957","0"
"Porsche: Boxster Roadster S Convertible 2-Door","17,500.00","2002","100,317"
"Chevrolet: Suburban 4WD 4dr 2500","17,795.00","2008","95,293"
"Lamborghini: Gallardo Base Coupe 2-Door","104,000.00","2004","9,857"
"Ford: Mustang Premium V6","17,500.00","2013","25,000"
"New listing Ford: Ranger 4x4 Extended Cab","820.00","2000","129,454"
"Ford: F-100 F100 Explorer","224.50","1978","54,976"
" Audi: R8 GT Coupe 2-Door ","134,999.00","2012","10,614"
"Chevrolet: Impala sport sedan","12,500.00","1964","100,000"
"Chevrolet: Camaro SS","3,050.00","2013","9,895"
" Ford: Other 1932 V-8 Convertible Roadster ","45,100.00","1932","0"
" Chevrolet: Impala Convertible ","160,000.00","1960","0"
"Toyota: 4Runner 4dr Limited","2,850.00","1997","188,483"
"Chevrolet: Corvette Z06","94,100.00","2015","3,904"
"BMW: 3-Series 340i","51,745.00","2016","0"
"New listing Chevrolet: C/K Pickup 3500","8,000.00","1987","78,428"
"Mazda: RX-8 4 door coupe manual sport","5,500.00","2004","65,800"
"Mercedes-Benz: C-Class Coupe","3,600.00","2005","94,000"
" Ford: F-350 XLT CENTAURUS 3 CONVESION ","15,000.00","1996","68,450"
"Chevrolet: Other Stylemaster Sedan Delivery","39,900.00","1948","27,000"
"Chevrolet: Express Base Standard Cargo Van 3-Door","5,995.00","2002","169,578"
"Chevrolet: C-10","3,700.00","1972","69,900"
"Chevrolet: Camaro RS Convertible","45,100.00","1967","700"
"Infiniti: M X Sedan 4-Door","20,888.00","2011","59,603"
"Porsche: 911 Carrera 4S Convertible 2-Door","119,900.00","2015","1,439"
"Tesla: Model S 4DR","36,300.00","2013","33,648"
"Lexus: GS Base Sedan 4-Door","22,234.00","2013","42,326"
"Ford: Mustang SHELBY GT500","46,999.00","2011","7,000"
" Chevrolet: Corvette Stingray Z51 ","55,000.00","2015","10"
"Volkswagen: Other Base Sedan 4-Door","5,500.00","2008","129,000"
"Ford: F-100 Pickup","45,900.00","1956","597"
"BMW: 3-Series 340i","51,795.00","2016","0"
